family_label,variation,variation_keys,category,year,name,source_formula,symbol,semantic,canonical_parameter,kept,reason
,,,parallel,,,,,,,False,no problem family recorded
,,,quantum,1996.0,A Framework for Quantum Search Heuristics,O(L),,,,False,no problem family recorded
,,,quantum,2002.0,Graph Coloring with Quantum Heuristics,O(n * V),,,,False,no problem family recorded
,,,quantum,2011.0,Luis Tarrataca et al.,O(b_avg^(m/2)),,,,False,no problem family recorded
,,,quantum,2022.0,Quantum Tree Search with Qiskit,O(B_avg^(m/2)),,,,False,no problem family recorded
,,,serial,,,,,,,False,no problem family recorded
,,,serial,,,,,,,False,no problem family recorded
,,,serial,,,,,,,False,no problem family recorded
,,,serial,,,,,,,False,no problem family recorded
4nf Decomposition,,(general),serial,1967.0,Tradu; Mirc,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
4nf Decomposition,,(general),serial,1972.0,Xu; Renio,$O(2^n)$,n,raw:number attributes,number attributes,True,kept
All Maximal Non-branching Paths in a Graph,All Maximal Non-Branching Paths in a Graph,(general),serial,1940.0,Naive,$O(m)$,,,an undefined parameter,False,year missing or outside 1950-2026
All Permutations,All Permutations,(general),parallel,1987.0,Akl,$O(n! * n)$,,,an undefined parameter,False,formula not usable: factorial runtimes are not evaluated
All Permutations,All Permutations,(general),serial,1956.0,Tompkins–Paige algorithm,$O(n \cdot n!)$,,,an undefined parameter,False,formula not usable: factorial runtimes are not evaluated
All Permutations,All Permutations,(general),serial,1963.0,Steinhaus–Johnson–Trotter algorithm,$O(n \cdot n!)$,,,an undefined parameter,False,formula not usable: factorial runtimes are not evaluated
All Permutations,All Permutations,(general),serial,1963.0,Heap's algorithm,$O(n \cdot n!)$,,,an undefined parameter,False,formula not usable: factorial runtimes are not evaluated
All-Pairs Shortest Paths,APSP,apsp,parallel,1977.0,Savage,$O(n^3*\log(n))$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1981.0,Dekel; Nassimi & Sahni,$O(n^3*\log^2(n))$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1982.0,Kucera,$O(n^4*\log(n))$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1992.0,Takaoka,$O(n^3*(\log n)^{1/2}*(\log \log n)^{1/2})$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1992.0,"Han, Pan & Reif (1)",$o(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1992.0,"Han, Pan & Reif (2)",$o(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1992.0,"Han, Pan & Reif (3)",$O(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,1998.0,Takaoka,$O(n^3(\log \log n)^{3/2}/(\log n)^{1/2}) = o(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP on Dense Directed Graphs with Arbitrary Weights,apsp on dense directed graphs with arbitrary weights,parallel,2001.0,Tiskin,$O(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,2004.0,Takaoka,$O(n^3*\log^2(\log n)/\log n)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,parallel,2013.0,"Solomonik, Buluç, Demmel",$O(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP (Adjacency List Model),apsp,quantum,2006.0,Furrow 3,O(sqrt(n^3*m)*log(n) + n^2*log^3(n)),n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
All-Pairs Shortest Paths,APSP (Adjacency Matrix Model),apsp,quantum,2006.0,Furrow 3,O(n^(5/2)*log(n)),n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP on Geometrically Weighted Graphs,apsp on geometrically weighted graphs,quantum,2014.0,"Nayebi, Williams",O(n^(5/2 - ε)),,,vertices in the graph,False,"also depends on 'epsilon' (an undefined parameter), which has no worst-case bound in terms of vertices in the graph"
All-Pairs Shortest Paths,APSP on Dense Undirected Graphs with Positive Integer Weights,apsp on dense undirected graphs with positive integer weights,quantum,2014.0,"Nayebi, Williams",O(n^(5/2 - ε)),,,vertices in the graph,False,"also depends on 'epsilon' (an undefined parameter), which has no worst-case bound in terms of vertices in the graph"
All-Pairs Shortest Paths,APSP on Sparse Directed Graphs with Arbitrary Weights,apsp on sparse directed graphs with arbitrary weights,quantum,2025.0,Prasad,O(n^5/2 + m),n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
All-Pairs Shortest Paths,APSP on Dense Directed Graphs with Arbitrary Weights,apsp on dense directed graphs with arbitrary weights,serial,1953.0,Shimbel Algorithm,$O(n^4)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP,apsp,serial,1962.0,Floyd–Warshall algorithm,$O(n^3)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP on Dense Undirected Unweighted Graphs; APSP on Sparse Undirected Unweighted Graphs,apsp on dense undirected unweighted graphs; apsp on sparse undirected unweighted graphs,serial,1995.0,Seidel's algorithm,$O(n^{2.373} \log n)$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP on Dense Undirected Graphs with Positive Integer Weights; APSP on Sparse Undirected Graphs with Positive Integer Weights,apsp on dense undirected graphs with positive integer weights; apsp on sparse undirected graphs with positive integer weights,serial,1999.0,Thorup,$O(mn)$,n,vertices,vertices in the graph,True,kept; substituted worst-case edges in the graph for 'm'
All-Pairs Shortest Paths,APSP on Dense Undirected Graphs with Arbitrary Weights; APSP on Sparse Undirected Graphs with Arbitrary Weights,apsp on dense undirected graphs with arbitrary weights; apsp on sparse undirected graphs with arbitrary weights,serial,2002.0,Pettie & Ramachandran,"$O(mn \log \alpha(m,n))$",,,vertices in the graph,False,"formula not usable: could not parse 'mn log(ackinv)*(m,n)' (TypeError)"
All-Pairs Shortest Paths,APSP on Geometrically Weighted Graphs,apsp on geometrically weighted graphs,serial,2009.0,Chan (Geometrically Weighted),$O(n^{2.844})$,n,vertices,vertices in the graph,True,kept
All-Pairs Shortest Paths,APSP on Dense Directed Graphs with Arbitrary Weights; APSP on Dense Undirected Graphs with Arbitrary Weights,apsp on dense directed graphs with arbitrary weights; apsp on dense undirected graphs with arbitrary weights,serial,2009.0,Chan,$O(n^3 \log^3 \log n / \log^2 n)$,,,vertices in the graph,False,formula not usable: could not parse 'n^3 (log(log))**(3) n / (log(n))**(2)' (TypeError)
